long, lat, coord_x, coord_y
-58.46714462,-34.66559394, FRANCISCO, Gral."
-58.46714093,-34.6659802, FRANCISCO, Gral."
-58.46713972,-34.66580046, FRANCISCO, Gral."
-58.46713972,-34.66567417, FRANCISCO, Gral."
-58.46713866,-34.66641217, FRANCISCO, Gral."
-58.46713648,-34.66630003, FRANCISCO, Gral."
-58.4671324,-34.66546954, FRANCISCO, Gral."
-58.4671319,-34.66636728, FRANCISCO, Gral."
-58.46712029,-34.6655257, FRANCISCO, Gral."
-58.4671138,-34.66652999, FRANCISCO, Gral."
-58.46711377,-34.66613354, FRANCISCO, Gral."
-58.46711298,-34.66550371, FRANCISCO, Gral."
-58.46710578,-34.66562802, FRANCISCO, Gral."
-58.46710471,-34.66592224, FRANCISCO, Gral."
-58.46710326,-34.66546756, FRANCISCO, Gral."
-58.46710023,-34.66575395, FRANCISCO, Gral."
-58.46709567,-34.66630184, FRANCISCO, Gral."
-58.46709567,-34.66621584, FRANCISCO, Gral."
-58.46709356,-34.66549361, FRANCISCO, Gral."
-58.46709348,-34.66605692, FRANCISCO, Gral."
-58.46709121,-34.66642714, FRANCISCO, Gral."
-58.46709118,-34.6659821, FRANCISCO, Gral."
-58.46708876,-34.66566615, FRANCISCO, Gral."
-58.46708662,-34.66645337, FRANCISCO, Gral."
-58.46708385,-34.66558592, FRANCISCO, Gral."
-58.46708385,-34.66555779, FRANCISCO, Gral."
-58.46707984,-34.66613913, FRANCISCO, Gral."
-58.46707666,-34.6657022, FRANCISCO, Gral."
-58.46707539,-34.66653188, FRANCISCO, Gral."
-58.46707536,-34.66586239, FRANCISCO, Gral."
-58.46706694,-34.6655257, FRANCISCO, Gral."
-58.46706171,-34.66575584, FRANCISCO, Gral."
-58.46705727,-34.66639351, FRANCISCO, Gral."
-58.46705725,-34.66591846, FRANCISCO, Gral."
-58.46705267,-34.66605872, FRANCISCO, Gral."
-58.46704823,-34.66662167, FRANCISCO, Gral."
-58.46704751,-34.66545954, FRANCISCO, Gral."
-58.46704501,-34.66562802, FRANCISCO, Gral."
-58.46704261,-34.66558186, FRANCISCO, Gral."
-58.46704135,-34.66643092, FRANCISCO, Gral."
-58.46704021,-34.66549163, FRANCISCO, Gral."
-58.46703916,-34.66630752, FRANCISCO, Gral."
-58.46703913,-34.66585869, FRANCISCO, Gral."
-58.46703782,-34.66579442, FRANCISCO, Gral."
-58.46703781,-34.66554779, FRANCISCO, Gral."
-58.46703011,-34.66653189, FRANCISCO, Gral."
-58.4670301,-34.66622702, FRANCISCO, Gral."
